N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
31;21;If a person plays optimally, he will win;0.828;;If a person plays optimally, he will win;0
31;22;If a person plays optimally, he will win;0.77;;If a person plays optimally, he will win;0
31;23;If a person plays optimally, he will win;0.812;;If a person plays optimally, he will win;0.001
31;24;If a person plays optimally, he will win;0.794;;If a person plays optimally, he will win;0.001
31;25;If a person plays optimally, he will win;0.781;;If a person plays optimally, he will win;0.001
31;26;If a person plays optimally, he will win;0.901;;If a person plays optimally, he will win;0
31;27;If a person plays optimally, he will win;0.926;;If a person plays optimally, he will win;0.001
31;28;If a person plays optimally, he will win;0.798;;If a person plays optimally, he will win;0
31;29;If a person plays optimally, he will win;0.85;;If a person plays optimally, he will win;0.001
31;30;If a person plays optimally, he will win;0.768;;If a person plays optimally, he will win;0.002
31;31;If a person plays optimally, he will win;0.768;;If a person plays optimally, he will win;0.006
32;2;If a person plays optimally, he will win;0.793;;If a person plays optimally, he will win;0.001
32;3;If a person plays optimally, he will win;1.097;;The computer win;0
32;4;If a person plays optimally, he will win;1.158;;If a person plays optimally, he will win;0
32;5;If a person plays optimally, he will win;1.252;;If a person plays optimally, he will win;0
32;6;If a person plays optimally, he will win;1.272;;If a person plays optimally, he will win;0
32;7;If a person plays optimally, he will win;1.445;;If a person plays optimally, he will win;0
32;8;If a person plays optimally, he will win;1.318;;If a person plays optimally, he will win;0
32;9;If a person plays optimally, he will win;1.322;;If a person plays optimally, he will win;0
32;10;If a person plays optimally, he will win;1.322;;If a person plays optimally, he will win;0.001
32;11;If a person plays optimally, he will win;1.415;;If a person plays optimally, he will win;0
32;12;If a person plays optimally, he will win;1.381;;If a person plays optimally, he will win;0.001
32;13;If a person plays optimally, he will win;1.368;;If a person plays optimally, he will win;0
32;14;If a person plays optimally, he will win;1.974;;If a person plays optimally, he will win;0
32;15;If a person plays optimally, he will win;1.915;;If a person plays optimally, he will win;0.001
32;16;If a person plays optimally, he will win;2.342;;If a person plays optimally, he will win;0.001
32;17;If a person plays optimally, he will win;2.103;;If a person plays optimally, he will win;0
32;18;If a person plays optimally, he will win;1.651;;If a person plays optimally, he will win;0
32;19;If a person plays optimally, he will win;1.733;;If a person plays optimally, he will win;0
32;20;If a person plays optimally, he will win;1.604;;If a person plays optimally, he will win;0
32;21;If a person plays optimally, he will win;1.489;;If a person plays optimally, he will win;0.001
32;22;If a person plays optimally, he will win;1.434;;If a person plays optimally, he will win;0
